感染率,最佳每组人数,平均人均测试数
161,3,0.7427436143333335
162,3,0.7448528613333334
163,3,0.7469570803333334
164,3,0.7490562773333335
165,3,0.7511504583333334
166,3,0.7532396293333333
167,3,0.7553237963333334
168,3,0.7574029653333333
169,3,0.7594771423333334
170,3,0.7615463333333334
171,3,0.7636105443333335
172,3,0.7656697813333332
173,3,0.7677240503333334
174,3,0.7697733573333331
175,3,0.7718177083333334
176,3,0.7738571093333331
177,3,0.7758915663333333
178,3,0.7779210853333333
179,3,0.7799456723333335
180,3,0.7819653333333333
181,3,0.7839800743333335
182,3,0.7859899013333331
183,3,0.7879948203333335
184,3,0.7899948373333331
185,3,0.7919899583333333
186,3,0.7939801893333333
187,3,0.7959655363333334
188,3,0.7979460053333333
189,3,0.7999216023333334
190,3,0.8018923333333331
191,3,0.8038582043333334
192,3,0.8058192213333332
193,3,0.8077753903333336
194,3,0.8097267173333332
195,3,0.8116732083333336
196,3,0.8136148693333333
197,3,0.8155517063333334
198,3,0.8174837253333331
199,3,0.8194109323333335
200,3,0.8213333333333331
201,3,0.8232509343333335
202,3,0.8251637413333333
203,3,0.8270717603333334
204,3,0.8289749973333332
205,3,0.8308734583333331
206,3,0.8327671493333333
207,3,0.8346560763333333
208,3,0.8365402453333334
209,3,0.8384196623333332
210,3,0.8402943333333331
211,3,0.8421642643333332
212,3,0.8440294613333333
213,3,0.8458899303333332
214,3,0.8477456773333332
215,3,0.8495967083333333
216,3,0.8514430293333333
217,3,0.8532846463333333
218,3,0.8551215653333332
219,3,0.8569537923333334
220,3,0.8587813333333333
221,3,0.8606041943333332
222,3,0.8624223813333333
223,3,0.8642359003333332
224,3,0.8660447573333333
225,3,0.8678489583333332
226,3,0.8696485093333334
227,3,0.8714434163333334
228,3,0.8732336853333331
229,3,0.8750193223333333
230,3,0.8768003333333332
231,3,0.8785767243333332
232,3,0.8803485013333332
233,3,0.8821156703333334
234,3,0.8838782373333331
235,3,0.8856362083333332
236,3,0.8873895893333333
237,3,0.8891383863333333
238,3,0.8908826053333332
239,3,0.8926222523333333
240,3,0.8943573333333333
241,3,0.8960878543333334
242,3,0.8978138213333334
243,3,0.8995352403333333
244,3,0.9012521173333333
245,3,0.9029644583333334
246,3,0.9046722693333332
247,3,0.9063755563333334
